date,0,1,2,3,4,5,6
12/16/2018,-0.376758526,0.813717729,-0.28581505,-1.082497566,-0.752594842,0.165258808,-1.518689446
12/23/2018,-0.260336909,0.720418838,-0.483272128,-1.122561028,-0.757322604,0.166595145,-1.736478686
12/30/2018,0.117543799,0.451683248,-0.692796756,-1.162661263,-0.76210254,0.16792368,-1.880409831
1/6/2019,0.261139434,0.110215938,-0.90055926,-1.20274275,-0.766939192,0.169244323,-2.329641508
1/13/2019,0.12166669,-0.204146841,-1.092729965,-1.242749974,-0.771837104,0.170556986,-3.019240209
1/20/2019,0.001715536,-0.456841997,-1.255479199,-1.282627415,-0.776800816,0.171861579,-3.598172311
1/27/2019,-0.332268713,-0.630521363,-1.374977286,-1.322319556,-0.781834872,0.173158015,-4.268763775
2/3/2019,-0.048919861,-0.712480865,-1.437394554,-1.361770879,-0.786943813,0.174446203,-4.173063769
2/10/2019,0.347482099,-0.708592786,-1.428901327,-1.400925866,-0.792132181,0.175726056,-3.807344006
2/17/2019,0.4211113,-0.626754275,-1.338436471,-1.439579686,-0.79740452,0.176997483,-3.604066168
2/24/2019,-0.412263139,-0.451726671,-1.167543728,-1.476930253,-0.80276537,0.178260397,-4.132968764
3/3/2019,-0.342417345,-0.1469635,-0.926658286,-1.512026168,-0.808219275,0.179514709,-3.556769865
3/10/2019,-0.311038364,0.208952391,-0.62774606,-1.543916032,-0.813770775,0.180760329,-2.906758512
3/17/2019,0.253430657,0.505491098,-0.282772965,-1.571648445,-0.819424415,0.181997168,-1.732926902
3/24/2019,0.094627141,0.648010711,0.096295083,-1.594272009,-0.825184735,0.183225138,-1.39729867
3/31/2019,-0.121327727,0.607364417,0.495549041,-1.610835323,-0.831056277,0.18444415,-1.27586172
4/7/2019,-0.077641505,0.393518817,0.891922361,-1.62038699,-0.837043585,0.185654115,-1.063976788
4/14/2019,0.064078715,0.085358276,1.254865413,-1.62197561,-0.843151201,0.186854943,-0.873969463
4/21/2019,-0.084097071,-0.226903131,1.553299461,-1.614653145,-0.849380304,0.188046547,-1.033687643
4/28/2019,0.131257538,-0.506825403,1.759569288,-1.597485003,-0.85571863,0.189228837,-0.879973373
5/5/2019,-0.129971468,-0.607737513,1.850448417,-1.569539952,-0.862150554,0.190401724,-1.128549346
